frame,rot_ke,trans_ke,effi
0,5.556150e-21,5.398676e-21,5.071874e+01,
1,5.548186e-21,3.388485e-21,6.208337e+01,
2,2.771260e-21,1.134410e-21,7.095479e+01,
3,2.768854e-21,2.370722e-22,9.211317e+01,
4,2.767876e-21,1.375023e-22,9.526732e+01,
5,2.766943e-21,4.485812e-22,8.604952e+01,
6,2.768163e-21,1.590034e-21,6.351625e+01,
7,2.771005e-21,2.635456e-21,5.125358e+01,
8,2.776179e-21,4.027615e-21,4.080340e+01,
9,5.562757e-21,3.831259e-21,5.921596e+01,
10,5.571465e-21,5.059124e-21,5.240975e+01,
11,5.579021e-21,5.201844e-21,5.174929e+01,
12,8.378457e-21,7.329100e-21,5.334029e+01,
13,5.589121e-21,5.505114e-21,5.037861e+01,
14,5.585688e-21,4.088414e-21,5.773857e+01,
15,5.578386e-21,4.543150e-21,5.511403e+01,
16,2.784033e-21,3.750974e-21,4.260184e+01,
17,2.778817e-21,4.402369e-21,3.869579e+01,
18,2.771569e-21,6.347767e-21,3.039222e+01,
19,2.761094e-21,6.562127e-21,2.961524e+01,
20,2.750390e-21,7.537908e-21,2.673319e+01,
21,2.738140e-21,8.705087e-21,2.392804e+01,
22,2.725405e-21,1.038335e-20,2.079072e+01,
23,2.711080e-21,9.426470e-21,2.233630e+01,
24,2.697798e-21,6.565130e-21,2.912468e+01,
25,2.686700e-21,4.428701e-21,3.775894e+01,
26,2.677712e-21,3.765731e-21,4.155717e+01,
27,5.342731e-21,3.648511e-21,5.942150e+01,
28,5.335760e-21,2.885169e-21,6.490459e+01,
29,5.335233e-21,3.116723e-21,6.312424e+01,
30,2.668979e-21,2.546267e-21,5.117648e+01,
31,2.670836e-21,2.662910e-21,5.007430e+01,
32,2.674592e-21,2.789066e-21,4.895241e+01,
33,2.678089e-21,1.374029e-21,6.609109e+01,
34,2.679779e-21,4.411991e-22,8.586343e+01,
35,2.681438e-21,2.194163e-22,9.243615e+01,
36,2.682057e-21,5.356883e-23,9.804181e+01,
37,2.682210e-21,2.279339e-22,9.216761e+01,
38,2.681790e-21,9.643953e-22,7.355057e+01,
39,2.682178e-21,1.771700e-21,6.022117e+01,
40,2.682472e-21,1.927827e-21,5.818434e+01,
41,2.684896e-21,2.211644e-21,5.483251e+01,
42,5.373367e-21,4.027873e-21,5.715594e+01,
43,8.069923e-21,5.891665e-21,5.780090e+01,
44,5.386495e-21,5.337142e-21,5.023011e+01,
45,5.396045e-21,5.112998e-21,5.134668e+01,
46,2.703541e-21,4.519581e-21,3.742898e+01,
47,2.710073e-21,4.896827e-21,3.562651e+01,
48,2.717997e-21,5.869915e-21,3.164910e+01,
49,2.727130e-21,7.111732e-21,2.771794e+01,
50,2.738914e-21,8.114371e-21,2.523581e+01,
51,2.751755e-21,8.762681e-21,2.389831e+01,
52,2.764961e-21,8.646347e-21,2.423001e+01,
53,2.778195e-21,8.579770e-21,2.446032e+01,
54,2.791606e-21,5.085348e-21,3.544017e+01,
55,2.802017e-21,4.702864e-21,3.733593e+01,
56,2.812265e-21,3.616975e-21,4.374179e+01,
