frame,rot_ke,trans_ke,effi
0,2.635929e-20,1.760832e-20,5.995161e+01,
1,2.634465e-20,1.514653e-20,6.349458e+01,
2,2.633446e-20,1.276182e-20,6.735796e+01,
3,2.632395e-20,1.188174e-20,6.890061e+01,
4,2.632069e-20,1.192758e-20,6.881538e+01,
5,2.631645e-20,1.021561e-20,7.203659e+01,
6,2.631570e-20,8.066114e-21,7.653959e+01,
7,2.631854e-20,7.180855e-21,7.856423e+01,
8,2.632585e-20,7.894254e-21,7.693095e+01,
9,2.633281e-20,7.335038e-21,7.821352e+01,
10,2.633942e-20,5.963031e-21,8.154000e+01,
11,2.634542e-20,6.066753e-21,8.128249e+01,
12,2.635186e-20,5.167551e-21,8.360518e+01,
13,2.635876e-20,3.759193e-21,8.751843e+01,
14,2.636671e-20,5.194119e-21,8.354251e+01,
15,2.638049e-20,6.915422e-21,7.923042e+01,
16,2.639679e-20,7.103717e-21,7.879520e+01,
17,2.641015e-20,7.324631e-21,7.828760e+01,
18,2.642385e-20,6.487001e-21,8.028917e+01,
19,2.643447e-20,7.176558e-21,7.864820e+01,
20,2.644459e-20,6.686087e-21,7.981905e+01,
21,2.645030e-20,8.908674e-21,7.480506e+01,
22,2.645604e-20,7.162147e-21,7.869562e+01,
23,2.645748e-20,5.377769e-21,8.310750e+01,
24,2.646044e-20,6.383894e-21,8.056318e+01,
25,2.646652e-20,6.305222e-21,8.076019e+01,
26,2.647498e-20,5.428038e-21,8.298582e+01,
27,2.648447e-20,5.505948e-21,8.278876e+01,
28,2.649324e-20,4.473624e-21,8.555351e+01,
29,2.650751e-20,3.439339e-21,8.851519e+01,
30,2.652057e-20,4.975716e-21,8.420221e+01,
31,2.653806e-20,4.541364e-21,8.538788e+01,
32,2.655562e-20,4.577755e-21,8.529631e+01,
33,2.657411e-20,6.500495e-21,8.034596e+01,
34,2.660047e-20,6.797003e-21,7.964815e+01,
35,2.662528e-20,8.102286e-21,7.666900e+01,
36,2.665329e-20,8.207122e-21,7.645719e+01,
37,2.668034e-20,6.419458e-21,8.060575e+01,
38,2.670630e-20,6.355489e-21,8.077694e+01,
39,2.672987e-20,6.717060e-21,7.991726e+01,
40,2.675198e-20,5.190084e-21,8.375157e+01,
41,2.677288e-20,4.112435e-21,8.668482e+01,
42,2.678863e-20,4.460501e-21,8.572600e+01,
43,2.680790e-20,4.053402e-21,8.686575e+01,
44,2.683134e-20,2.700492e-21,9.085566e+01,
45,2.684756e-20,3.616647e-21,8.812821e+01,
46,2.686596e-20,5.313413e-21,8.348814e+01,
47,2.688694e-20,7.228013e-21,7.881277e+01,
48,2.690729e-20,1.076455e-20,7.142548e+01,
49,2.692891e-20,1.172973e-20,6.965819e+01,
50,2.694938e-20,1.249871e-20,6.831605e+01,
51,2.697542e-20,1.293001e-20,6.759837e+01,
52,2.700220e-20,1.647998e-20,6.209946e+01,
53,2.702955e-20,2.049905e-20,5.687007e+01,
54,2.705440e-20,2.361374e-20,5.339530e+01,
55,2.707526e-20,2.443671e-20,5.256111e+01,
56,5.418832e-20,2.999041e-20,6.437294e+01,
57,5.422939e-20,3.166873e-20,6.313222e+01,
58,5.426946e-20,3.422413e-20,6.132587e+01,
59,5.431497e-20,3.644442e-20,5.984502e+01,
60,5.436484e-20,3.796992e-20,5.887798e+01,
61,5.440100e-20,3.398009e-20,6.155276e+01,
62,5.442994e-20,3.700774e-20,5.952682e+01,
63,5.445024e-20,3.484254e-20,6.097944e+01,
64,5.446525e-20,2.971888e-20,6.469777e+01,
65,2.723752e-20,2.713670e-20,5.009271e+01,
66,2.724376e-20,2.272102e-20,5.452593e+01,
67,2.725249e-20,1.878050e-20,5.920209e+01,
68,2.726418e-20,1.613904e-20,6.281604e+01,
69,2.727781e-20,1.143489e-20,7.046218e+01,
70,2.728614e-20,8.825980e-21,7.555951e+01,
71,2.729715e-20,6.865749e-21,7.990291e+01,
72,2.730227e-20,5.343379e-21,8.363219e+01,
73,2.731063e-20,3.083072e-21,8.985621e+01,
74,2.732010e-20,2.419400e-21,9.186469e+01,
75,2.732685e-20,1.142804e-21,9.598589e+01,
76,2.733114e-20,9.521043e-22,9.663368e+01,
77,2.733250e-20,1.264483e-21,9.557827e+01,
78,2.732791e-20,2.698622e-22,9.902216e+01,
79,2.733270e-20,6.919229e-22,9.753102e+01,
80,2.733668e-20,1.119513e-21,9.606584e+01,
81,2.733685e-20,1.394782e-21,9.514548e+01,
82,2.733469e-20,1.194842e-21,9.581191e+01,
83,2.733203e-20,1.121116e-21,9.605978e+01,
84,2.733138e-20,9.736534e-22,9.656014e+01,
85,2.732953e-20,9.152693e-22,9.675951e+01,
86,2.732632e-20,7.915820e-22,9.718478e+01,
87,2.732310e-20,1.757898e-21,9.395517e+01,
88,2.731995e-20,3.858484e-21,8.762451e+01,
89,2.731615e-20,5.593206e-21,8.300421e+01,
