frame,rot_ke,trans_ke,effi
0,1.096777e-20,1.136327e-20,4.911447e+01,
1,1.094484e-20,1.287664e-20,4.594525e+01,
2,1.091094e-20,1.238527e-20,4.683569e+01,
3,8.700383e-21,9.839035e-21,4.692910e+01,
4,6.502264e-21,6.408105e-21,5.036467e+01,
5,4.322129e-21,5.608489e-21,4.352327e+01,
6,2.153569e-21,3.832687e-21,3.597523e+01,
7,2.146277e-21,3.667291e-21,3.691842e+01,
8,2.139539e-21,3.732948e-21,3.643327e+01,
9,4.264996e-21,4.382668e-21,4.931963e+01,
10,4.251627e-21,4.819649e-21,4.686912e+01,
11,4.240265e-21,4.628547e-21,4.781097e+01,
12,4.231988e-21,3.204168e-21,5.691096e+01,
13,2.115222e-21,2.616352e-21,4.470440e+01,
14,2.118142e-21,4.461682e-21,3.219147e+01,
15,2.124372e-21,4.772013e-21,3.080414e+01,
16,2.131665e-21,9.147186e-21,1.889967e+01,
17,2.142909e-21,1.332223e-20,1.385639e+01,
18,2.157144e-21,1.815479e-20,1.062008e+01,
19,2.174079e-21,1.879954e-20,1.036578e+01,
20,2.191394e-21,1.803872e-20,1.083234e+01,
21,2.208438e-21,2.162060e-20,9.267843e+00,
22,2.227208e-21,1.727977e-20,1.141749e+01,
23,2.243306e-21,1.659160e-20,1.191036e+01,
24,4.517347e-21,1.364405e-20,2.487335e+01,
25,6.815638e-21,1.097916e-20,3.830129e+01,
26,9.124404e-21,1.036202e-20,4.682441e+01,
27,9.147275e-21,9.338207e-21,4.948356e+01,
28,1.145082e-20,1.114405e-20,5.067885e+01,
29,1.604238e-20,1.477845e-20,5.205046e+01,
30,1.832657e-20,1.745029e-20,5.122465e+01,
31,1.602195e-20,1.594195e-20,5.012514e+01,
32,1.600893e-20,1.442325e-20,5.260527e+01,
33,1.599392e-20,1.517708e-20,5.131026e+01,
34,1.141458e-20,9.975901e-21,5.336290e+01,
35,9.125203e-21,7.871324e-21,5.368863e+01,
36,6.845640e-21,5.003525e-21,5.777319e+01,
37,4.567509e-21,5.797358e-21,4.406723e+01,
38,2.290486e-21,7.304766e-21,2.387104e+01,
39,2.300074e-21,8.868608e-21,2.059396e+01,
40,2.311066e-21,1.090868e-20,1.748193e+01,
41,2.323921e-21,1.079569e-20,1.771333e+01,
42,2.336897e-21,9.778479e-21,1.928869e+01,
43,4.697015e-21,8.639800e-21,3.521842e+01,
44,4.716547e-21,7.626022e-21,3.821366e+01,
45,4.734248e-21,5.686000e-21,4.543316e+01,
46,2.373346e-21,3.350270e-21,4.146585e+01,
47,2.377666e-21,2.113175e-21,5.294479e+01,
48,2.378903e-21,2.450805e-21,4.925562e+01,
49,7.128196e-21,7.108885e-21,5.006782e+01,
50,7.106732e-21,1.104125e-20,3.915990e+01,
51,7.074044e-21,1.630016e-20,3.026432e+01,
52,7.032120e-21,1.694603e-20,2.932720e+01,
53,9.318777e-21,2.284071e-20,2.897676e+01,
54,1.156514e-20,2.540523e-20,3.128219e+01,
55,1.377577e-20,2.530238e-20,3.525185e+01,
56,1.824496e-20,2.573174e-20,4.148780e+01,
57,2.266858e-20,2.837840e-20,4.440728e+01,
58,3.383497e-20,3.721517e-20,4.762126e+01,
59,3.817532e-20,3.886948e-20,4.954951e+01,
60,4.477281e-20,4.394333e-20,5.046749e+01,
61,4.912903e-20,4.864373e-20,5.024818e+01,
62,4.678523e-20,4.788040e-20,4.942156e+01,
63,4.221817e-20,4.275185e-20,4.968596e+01,
64,4.212874e-20,4.328669e-20,4.932217e+01,
65,3.093706e-20,3.313172e-20,4.828727e+01,
66,3.082747e-20,3.268495e-20,4.853771e+01,
67,1.755022e-20,1.973421e-20,4.707118e+01,
68,1.311236e-20,1.529160e-20,4.616385e+01,
69,8.705765e-21,1.173366e-20,4.259300e+01,
70,4.333342e-21,8.898147e-21,3.275022e+01,
71,4.312500e-21,1.034601e-20,2.941976e+01,
72,4.288084e-21,1.250295e-20,2.553794e+01,
73,4.262595e-21,9.352837e-21,3.130709e+01,
74,4.242286e-21,8.159388e-21,3.420737e+01,
75,4.224799e-21,7.083836e-21,3.735905e+01,
76,2.104657e-21,2.910469e-21,4.196619e+01,
77,2.099941e-21,8.891441e-22,7.025364e+01,
78,2.097513e-21,1.035630e-21,6.694598e+01,
79,4.197638e-21,4.839302e-21,4.644977e+01,
80,8.418798e-21,1.369720e-20,3.806654e+01,
81,1.057515e-20,2.210503e-20,3.235953e+01,
82,1.490328e-20,2.997482e-20,3.320835e+01,
83,1.501696e-20,3.930211e-20,2.764584e+01,
84,1.299637e-20,3.997160e-20,2.453629e+01,
85,1.312623e-20,4.259135e-20,2.355851e+01,
86,8.842959e-21,4.204687e-20,1.737667e+01,
87,8.939654e-21,3.916037e-20,1.858555e+01,
88,9.031986e-21,3.743636e-20,1.943686e+01,
89,9.123974e-21,3.336442e-20,2.147404e+01,
90,9.209765e-21,3.144922e-20,2.265124e+01,
91,9.290236e-21,2.309495e-20,2.868668e+01,
92,1.637069e-20,2.618192e-20,3.847165e+01,
93,2.587750e-20,2.890599e-20,4.723595e+01,
94,3.070270e-20,3.173899e-20,4.917020e+01,
95,3.314739e-20,3.241976e-20,5.055487e+01,
96,3.793253e-20,3.764426e-20,5.019071e+01,
97,4.030405e-20,3.870203e-20,5.101386e+01,
98,3.556752e-20,3.484655e-20,5.051195e+01,
99,3.322043e-20,3.287910e-20,5.025820e+01,
100,2.850760e-20,2.880849e-20,4.973752e+01,
101,2.618046e-20,2.767615e-20,4.861142e+01,
